iter	Passed	Remaining
0	56	5566
1	59	2895
2	63	2047
3	68	1642
4	72	1377
5	75	1185
6	80	1069
7	85	983
8	89	909
9	93	844
10	96	783
11	100	739
12	104	700
13	108	663
14	111	630
15	114	599
16	117	572
17	121	552
18	126	538
19	130	522
20	133	502
21	136	484
22	140	470
23	144	456
24	148	444
25	151	432
26	155	420
27	159	409
28	162	398
29	165	386
30	170	379
31	173	369
32	177	359
33	180	349
34	183	340
35	190	338
36	194	330
37	197	322
38	203	318
39	206	309
40	210	302
41	213	294
42	217	288
43	221	282
44	225	275
45	228	267
46	231	261
47	237	257
48	240	250
49	243	243
50	246	237
51	251	232
52	255	226
53	258	220
54	262	214
55	265	208
56	269	203
57	272	197
58	276	191
59	279	186
60	283	181
61	287	176
62	290	170
63	295	166
64	300	161
65	304	157
66	309	152
67	313	147
68	319	143
69	322	138
70	327	133
71	331	128
72	336	124
73	340	119
74	344	114
75	347	109
76	353	105
77	357	100
78	360	95
79	364	91
80	370	86
81	374	82
82	378	77
83	383	73
84	387	68
85	390	63
86	393	58
87	398	54
88	401	49
89	404	44
90	408	40
91	413	35
92	417	31
93	422	26
94	426	22
95	433	18
96	438	13
97	442	9
98	449	4
99	454	0
